Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1960,22.15,25.69,38.94,47.21,54.37,66.44,73.24,69.57,64.09,49.22,37.8,27.74
1961,27.51,34.14,37,44.94,55.21,68.16,72.75,70.5,55.88,47.55,33.11,24.98
1962,22.21,31.76,31.69,49.69,53.05,63.01,69.83,69.27,62.15,51.64,40.86,29.51
1963,19.99,37.45,35.64,42.33,57.94,60.87,71.99,70.25,63.65,55.3,38.25,26.05
1964,23.28,24.82,29.96,43.22,53.28,60.84,72.98,68.4,59.41,52.36,33.01,29.11
1965,29.35,30.19,33.3,44.81,51,60.03,69.49,67.31,55.02,51.8,41.75,28.36
1966,24.77,25.87,38.03,46.1,57.86,64.07,72.65,70.39,62.38,48.43,40.29,26.37
1967,25.65,32.07,40.85,41.66,52.08,59.41,72.06,71.15,61.94,51.12,40.13,21.83
1968,22.18,34.3,39.38,41.25,52.92,64.54,70.85,64.33,58.77,49.52,35.93,24.49
1969,30.46,28.28,31.91,46.76,59.09,61.01,71.28,72.73,63.4,43.71,35.95,30.83
1970,28.36,35.93,35.75,39.86,54.84,63.54,71.2,71.92,57.47,44.74,37.98,27.14
1971,27.84,31.23,35.78,44.88,52.22,63.8,72.14,71.18,57.37,45.73,33.21,23.59
1972,27.68,33.42,43.97,46.09,55.14,65.35,71.79,69.03,59.52,49.11,33.04,21.61
1973,18.13,27.29,34.17,41.93,55.2,63.22,70.4,69.89,58.67,50.29,36.5,29.66
1974,21.67,25.7,41.51,43.73,57.31,67.58,71.42,68.23,61.54,50.63,37.42,26.23
1975,24.04,28.71,35.63,38.87,49.77,60.21,71.54,67.1,60.68,48.19,34.66,28.74
1976,25.27,32.8,33.33,44.53,56.47,62.29,72.64,67.08,61.21,47.3,38.48,27.98
1977,24.55,33.2,33.83,48.41,51.28,68.35,71.35,69.9,62.09,51.46,38.5,33.82
1978,29.44,31.87,41.68,46.08,52.16,63.99,71.31,68.24,59.5,52.42,34.88,21.68
1979,18,25.76,36.11,44.89,54.59,63.34,71.41,68.3,64.57,52.67,31.28,28.9
1980,29.11,32.55,34.96,45.61,51.43,63.33,72.09,68.57,60.97,48.85,38.09,34.64
1981,31.9,33.33,38.19,49.14,53.42,66.85,72.38,70.55,63.3,46.92,40.06,31.83
1982,25.01,28.24,37.42,42.68,53.14,62.03,69.62,70.79,60.21,44.71,33.8,27.18
1983,29.39,32.65,38.23,40.15,50.79,61.93,69.49,70.15,63,50.5,36.96,26.69
1984,21.13,24.99,34.92,41.93,57.28,61.64,71.09,69.42,61.45,43.67,36.2,25.67
1985,23.35,23.8,35.24,48.82,56.89,66.27,72.51,69.49,57.04,48.48,33.77,26.04
1986,30.6,35.61,43.79,45.61,53.91,67.52,69.11,71.25,56.26,47.16,37.41,28.76
1987,23.66,31.84,35.79,49.74,55.78,66.24,68.59,67.64,61.45,52.54,36.23,25.5
1988,21.62,30.05,36.15,46.81,54.37,67.79,73.62,69.92,59.44,55.09,36.51,25.51
1989,20.53,25.22,42.09,51.13,55.58,63.06,73.89,68.36,61.43,49.46,38.21,28.71
1990,27.96,28.47,40.83,49.89,53.34,65.99,72.12,69.3,65.05,49.38,36.91,19.48
1991,22.23,34.19,35.57,42.9,51.78,62.84,71.46,70.43,61.17,50.7,34.94,26.4
1992,24.2,34.2,41.62,52.16,58.37,63.94,68.45,70.55,61.38,52.82,31.81,23.21
1993,24.85,27.6,39.88,44.91,56.52,60.78,66.88,67.61,60.19,48.15,31.91,27.51
1994,31.18,28.83,41.92,47.38,57.2,68.61,73.57,72.97,63.43,47.52,30.48,29.43
1995,28.55,38.97,39.54,43.74,50.21,59.46,69.44,71.39,62.95,48.51,41.8,32.04
1996,29.07,33.5,39.27,46.06,56.49,67.29,73.71,71.39,59.13,48.22,37.71,29.43
1997,27.01,29.62,40.84,42.7,57.17,65.09,69.33,70.05,61.87,48.46,37.31,26.21
1998,31.69,31.43,37.49,43.01,53.48,59.3,73.43,71.43,63.19,47.89,37.86,27.14
1999,31.87,33.4,41.79,41.61,52.28,63.32,71.51,69.07,59.74,51.81,42.53,28.93
2000,31.53,35.44,38.4,50.43,58.56,66.75,73.59,73.01,61.57,49.29,29.51,30.17
2001,26.37,30.94,40.73,46.39,58.7,66.39,72.58,72.17,65.11,52.22,39.57,24.73
2002,25.98,28.18,35.3,49.43,55.56,68.5,75.95,70.76,61.31,47.02,35.65,29.42
2003,34.68,31.01,39.49,45.78,56.62,65.57,76.95,72.72,61.9,55.21,33.69,30.33
2004,24.31,27.12,44.87,48.19,56.35,65.58,71.66,68.54,60.45,49.13,35.97,29.6
2005,32.5,33.05,38.96,45.66,55.64,61.36,74.39,69.29,60.72,50.65,39.05,28.86
2006,29.68,31.07,36.07,48.1,58.47,68.22,74.97,69.72,58.19,47.68,38.61,27.55
2007,21.91,33.86,42.37,47.81,57.35,67.13,75.69,72.63,62.13,48.73,40.38,24.77
2008,22.43,29.49,37,42.55,52.39,64.46,73.84,71.76,61.8,50.12,41,27.2
2009,28.96,32.79,38.93,44.69,58.25,61.54,72.73,69.48,64.63,45.38,38.86,21.72
2010,26.59,29.62,37.74,44.68,49.59,64.86,72.55,69.26,63.52,51.35,35.03,32.6
2011,24.7,28.21,38.85,43.8,49.89,62.77,71.35,72.46,63.4,50.18,36.03,26.5
2012,30.58,31.4,41.77,49.46,57.49,68.15,73.02,72.79,63.57,50.72,41.2,28.77
2013,19.19,27.03,40.15,44.79,55.71,68.2,74.53,70.82,61.82,46.67,38.2,22.94
2014,30.01,35.13,40.7,46.16,55.49,65.22,74.1,67.44,63.94,52.44,37.31,31.8
2015,31.27,38.52,43.76,46.46,53.11,69.1,69.55,70.41,64.95,54.2,34.71,26.28
2016,25.98,32.68,41.71,47.22,53.36,69.94,72.96,69.57,60.88,52.77,41.67,26.9
2017,32.37,31.83,38.23,48.57,57.36,68.25,75.22,71.96,65.53,47.72,34.86,27.6
2018,26.33,26.23,37.64,47.92,49.8,62.85,72.81,72.11,62.96,42.44,38.15,28.46
2019,26.33,26.23,37.64,47.92,49.8,62.8,72.72,72.11,62.9,42.49,-17966.2,28.37
2020,28.06,29.76,39.89,45.92,57.9,64.71,72.48,75.31,62.93,51.69,-9999,-9999
