Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
44158,Extra firefighters undergoing training in New Mexico,02/09/2018,02/08/2018, ,"New Mexico State Forestry has already begun to train extra firefighters to be prepared when the calls for assistance begin.  Members of the fire crews were doing their physical fitness testing and getting their equipment ready. KRQE-TV CBS 13 (Albuquerque, N.M.), Feb. 8, 2018","Fire, Relief, Response & Restrictions",New Mexico,
44462,Wildfire activity above normal in New Mexico,03/28/2018,01/01/2018,03/28/2018,"State and federal land managers warned New Mexicans that this may be a very severe fire season.  Already more than 140 fires have burned roughly 50 square miles of state and private land since the start of the year, nearly as much as burned in 2017.Bryan-College Station Eagle (Texas), March 27, 2018Wildfire activity in New Mexico has been above normal since the start of the year with New Mexico State Forestry battling 108 fires that burned thousands of acres of state and private land.  In comparison, just 76 fires were reported during the same time frame in 2017.  ABQJournal Online (Albuquerque, N.M.), March 18, 2018",Fire,New Mexico,
48095,"Heat, drought increased tree mortality in New Mexico in 2018",03/26/2019,01/01/2018,12/31/2018,"Forest mortality increased almost 50 percent in New Mexico in 2018 as extreme heat and drought made trees more susceptible to damage from insects.  More than 120,000 acres of ponderosa pine, spruce, piñon and other trees died, according to an annual report on state forest health. Ponderosa pine bark beetles killed nearly 53,000 acres of ponderosa pine, mostly in the Gila National Forest.  Spruce beetles eliminated about 45,000 acres of high-elevation, mature Engelmann spruce.  Some of the affected spruce involved 26,000 acres in the Santa Fe National Forest and about 12,000 acres in the Carson National Forest.  The piñon ips bark beetle was found on 2,800 acres, an increase from 90 acres in 2017.  Most of the affected piñon was in the Gila National Forest.Santa Fe New Mexican (N.M.), March 25, 2019",Plants & Wildlife,"New Mexico, Bernalillo County, NM, Catron County, NM, Chaves County, NM, Cibola County, NM, Colfax County, NM, Curry County, NM, DeBaca County, NM, Dona Ana County, NM, Eddy County, NM, Grant County, NM, Guadalupe County, NM, Harding County, NM, Hidalgo County, NM, Lea County, NM, Lincoln County, NM, Los Alamos County, NM, Luna County, NM, McKinley County, NM, Mora County, NM, Otero County, NM, Quay County, NM, Rio Arriba County, NM, Roosevelt County, NM, San Juan County, NM, San Miguel County, NM, Sandoval County, NM, Santa Fe County, NM, Sierra County, NM, Socorro County, NM, Taos County, NM, Torrance County, NM, Union County, NM, Valencia County, NM",
35719,"New Mexico governor warned of fire danger, urged consideration of fireworks ban",06/17/2016,06/06/2016, ,"New Mexico Governor Susana Martinez warned local officials of “high winds, dry conditions and warm temperatures” and urged them to consider the viability of banning fireworks.  She urged municipalities and counties to hold emergency meetings to determine whether the area should adopt a fireworks ban.Portales News-Tribune (N.M.), June 14, 2016","Fire, Relief, Response & Restrictions","New Mexico, Bernalillo County, NM, Catron County, NM, Chaves County, NM, Cibola County, NM, Colfax County, NM, Curry County, NM, DeBaca County, NM, Dona Ana County, NM, Eddy County, NM, Grant County, NM, Guadalupe County, NM, Harding County, NM, Hidalgo County, NM, Lea County, NM, Lincoln County, NM, Los Alamos County, NM, Luna County, NM, McKinley County, NM, Mora County, NM, Otero County, NM, Quay County, NM, Rio Arriba County, NM, Roosevelt County, NM, San Juan County, NM, San Miguel County, NM, Sandoval County, NM, Santa Fe County, NM, Sierra County, NM, Socorro County, NM, Taos County, NM, Torrance County, NM, Union County, NM, Valencia County, NM",
32595,Early start to fire season in New Mexico,04/06/2016,01/01/2016,04/02/2016,"New Mexico’s fire season has taken off early with more than 130 wildfires and more than 45,000 acres burned by April 2, which was a big increase over the 2015 fire season.  Moisture was more plentiful in 2015, supporting the growth of grasses that have since dried out and become potential fuel for 2016’s wildfires.  New Mexico has received little precipitation since the middle of January.ABQJournal (Albuquerque, N.M.), April 2, 2016",Fire,"New Mexico, Catron County, NM, Lincoln County, NM, Otero County, NM, Socorro County, NM",
31808,"Limited irrigation water, drought cut into New Mexico's forage crop production",07/07/2015,07/06/2015, ,"Reduced supplies of irrigation water and recent droughts have severely cut into New Mexico’s growers’ ability to produce alfalfa and other forage crops.  The state has more than 220,000 acres devoted to alfalfa, worth more than $280 million.ABQJournal Online (Albuquerque, N.M.), July 6, 2015",Agriculture,New Mexico,
31314,"Snowpack in southern Colorado, northern New Mexico not boding well for New Mexico farmers",02/06/2015,02/05/2015,08/24/2015,"The Elephant Butte Irrigation District offered a water allotment of 11 acre-inches per acre for the 2015 growing season because Elephant Butte Lake held about 12 percent of capacity after years of drought and meager flows on the Rio Grande River.  Las Cruces Sun-News (N.M.), Aug. 16, 2015With snowpack in southern Colorado and northern New Mexico on the low side, a consultant water engineer with Elephant Butte Irrigation District (EBID) cautioned farmers that they may get less than 6 acre-inches or about one-sixth of a full allotment and to plan accordingly.  The EBID delivered just 7.5 acre-inches in 2014, forcing growers to plant less acreage than usual.  Some smaller-scale pecan farmers lost trees.  Other farmers pumped water from wells, but area wells are notorious for saltiness, which harms crops.   The EBID board will vote on allocations and the start date of the irrigation season in about two months.Las Cruces Sun-News (N.M.), Feb. 5, 2015","Agriculture, Relief, Response & Restrictions, Water Supply & Quality",New Mexico,
31320,Water prospects dim in New Mexico,02/06/2015,02/01/2015,12/31/2015,"The San Juan-Chama Project will run short of water in 2015 for the first time after years of drought.  The project was undertaken decades ago and completed in 2008 to send extra water through the Rio Grande Valley to Albuquerque and Santa Fe to avoid depleting local aquifers.ABC News, March 30, 2015Thin snowpack in New Mexico’s northern mountains suggests that water supplies will again be on the slim side, meaning flow will be low on the Pecos, Rio Grande and San Juan rivers.  While the state’s large cities have enough water to get through 2015, reservoirs on the Rio Grande River are virtually empty at present, leaving farmers along the central New Mexico river with little water.   In south-central New Mexico, farmers were making alternate cropping plans to cope with another year of reduced irrigation water.  The Bureau of Reclamation sent letters to users of the San Juan-Chama Project, warning that water may be short again this year as in 2014.ABQ Journal (Albuquerque, N.M.), Feb. 1, 2015","Agriculture, Relief, Response & Restrictions, Water Supply & Quality","Archuleta County, CO, Conejos County, CO, New Mexico, Bernalillo County, NM, Los Alamos County, NM, Rio Arriba County, NM, Sandoval County, NM, Taos County, NM",
31134,New Mexico Interstate Stream Commission seeking federal funds for projects to extend New Mexico's water supplies,11/25/2014,11/24/2014, ,"The Interstate Stream Commission decided to push for funding from the U.S. Interior Department to construct a diversion and storage system along the Gila River in New Mexico.  Some of the funds would also be used to support municipal water conservation efforts and other projects to stretch the region’s drought-stressed water supplies.seattlepi.com (Wash.), Nov. 24, 2014","Relief, Response & Restrictions, Water Supply & Quality",New Mexico,
30518,U.S. Sen. Tom Udall working to get drought relief for New Mexico,06/17/2014,06/12/2014, ,"U.S. Sen. Tom Udall introduced a drought relief measure to get more funding and promote scientific research as New Mexico deals with years of drought and worsening water scarcity.  Udall says that farmers, ranchers and communities must all conserve and adapt to leaner water supplies if the state is to stretch its water supply.  Las Cruces Sun-News (N.M.), June 12, 2014","Relief, Response & Restrictions, Water Supply & Quality",New Mexico,
30392,Water restrictions in New Mexico,05/12/2014,05/12/2014, ,"Residents of Santa Fe may water their lawns up to three days per week and may wash their vehicles at home once a month.  The restrictions on water use were intended to extend the region’s water supply as drought persists.Other communities, including Carlsbad and Las Vegas, prohibit lawn watering and require customers in restaurants to request water if they want water.Sacramento Bee (Calif.), May 12, 2014","Relief, Response & Restrictions, Water Supply & Quality",New Mexico,
30284,"Town hall meeting in Albuquerque, New Mexico to hash out water use and policy matters",04/17/2014,04/15/2014,04/16/2014,"A town hall meeting in Albuquerque was held to work out recommendations on water use and policy concerning the state’s aging water infrastructure, conservations and planning for crisis situations.  Through past years of drought, water-sharing agreements and watering restrictions have helped dry regions limp along, but organizers of the meeting hope to develop a more comprehensive and coordinated method of dealing with drought.El Paso Times (Texas), April 15, 2014","Relief, Response & Restrictions, Society & Public Health, Water Supply & Quality",New Mexico,
30214,"Ongoing drought brought about the proliferation of tumbleweeds in southeastern Colorado, parts of New Mexico and the Texas panhandle",03/27/2014,03/27/2014, ,"Ongoing drought brought about the proliferation of tumbleweeds in southeastern Colorado, parts of New Mexico and the Texas panhandle.  Rainfall in September 2013 spurred the growth of the Russian thistles, which grew well with little moisture in places where much of the native vegetation was sparse or had died from the drought.  There were also fewer cattle in many areas as drought led ranchers to sell livestock, leaving fewer ruminants to nibble on the Russian thistle shoots.  The tumbleweeds are abundant in many areas, blocking roads and drainage culverts and piling up against fences and homes.In Fountain, Colorado, just southeast of Colorado Springs, a windstorm blew an incredible number of tumbleweeds into town, building mounds more than 10 feet high that residents strove to rake together and bag to get rid of them.An older couple in Clovis, New Mexico was trapped in their home in January when it became engulfed in tumbleweeds.  ""I looked out the window to see why it got so dark all of a sudden, and they were over 12-feet high, blocking my front and back doors,"" the man said. ""We couldn't get out.""A neighbor managed to dig through and get into the garage to free the couple.Tumbleweeds have been an ongoing problem in Crowley County, New Mexico where they continue to make travel on some roads very difficult.Baltimore Sun (Md.), March 27, 2014","Plants & Wildlife, Society & Public Health","Alamosa County, CO, Baca County, CO, Bent County, CO, Cheyenne County, CO, Costilla County, CO, Crowley County, CO, Custer County, CO, El Paso County, CO, Elbert County, CO, Fremont County, CO, Huerfano County, CO, Kiowa County, CO, Kit Carson County, CO, Las Animas County, CO, Lincoln County, CO, Otero County, CO, Prowers County, CO, Pueblo County, CO, New Mexico, Clovis, NM, Armstrong County, TX, Bailey County, TX, Borden County, TX, Briscoe County, TX, Carson County, TX, Castro County, TX, Cochran County, TX, Collingsworth County, TX, Crosby County, TX, Dallam County, TX, Dawson County, TX, Deaf Smith County, TX, Donley County, TX, Floyd County, TX, Gaines County, TX, Garza County, TX, Gray County, TX, Hale County, TX, Hall County, TX, Hansford County, TX, Hartley County, TX, Hemphill County, TX, Hockley County, TX, Hutchinson County, TX, Lamb County, TX, Lipscomb County, TX, Lubbock County, TX, Lynn County, TX, Mitchell County, TX, Moore County, TX, Ochiltree County, TX, Oldham County, TX, Parmer County, TX, Potter County, TX, Randall County, TX, Roberts County, TX, Scurry County, TX, Sherman County, TX, Swisher County, TX, Terry County, TX, Wheeler County, TX, Yoakum County, TX",
30116,New Mexico residents urged to prepare for continued drought and conserve water,02/24/2014,02/12/2014, ,"The Office of the State Engineer and New Mexico Interstate Stream Commission has recommended that residents prepare for continued drought and practice water conservation as drought persists with predictions for below normal mountain runoff and a warmer, drier spring.Cibola County Beacon (Grants, N.M.), Feb. 12, 2014","Relief, Response & Restrictions, Water Supply & Quality","New Mexico, Albuquerque, NM",
30224,The governor of New Mexico cautioned residents that the state may be entering another season of destructive wildfires,04/04/2014,01/01/2014,04/01/2014,"The governor of New Mexico cautioned residents that the state may be entering another season of destructive wildfires.  So far this year, nearly 100 wildfires burned about 6,000 acres of state and private land.  ABQJournal Online (N.M.), April 1, 2014","Fire, Relief, Response & Restrictions",New Mexico,
30835,Drought contributing to reduced chile production in New Mexico,09/11/2014,01/01/2014,08/18/2015,"Green chile production in New Mexico continued to suffer amid labor shortages, shrinking acreage, drought and foreign competition.My San Antonio.com (Texas), July 29, 2015Dry weather and low irrigation allotments, stemming from drought, have New Mexico chile farmers producing less chile than previous years.  In 2014, 7,700 acres of chile were harvested, a 10 percent drop from 2013, said the U.S. Department of Agriculture.  A Doña Ana County farmer said that he has been planting less and less with each year as the lack of water becomes a bigger factor.  He cut his planted acreage by 50 percent in previous years and left another 20 percent unplanted this year.  Las Cruces Sun-News (N.M.), March 7, 2015Drought was one of several factors chipping away at New Mexico’s chile acreage and production, even as demand for the pepper increased.  Labor costs, international competition and concerns over long-term water supplies have also reduced the planted acreage and production. Chili acreage dropped to a four-decade low in 2013, with just 8,600 acres harvested, compared with 34,000 acres in the early 1990s.Tucson Arizona Daily Star (Ariz.), Sept. 10, 2014","Agriculture, Water Supply & Quality",New Mexico,
29786,Governor Martinez of New Mexico hopes the Legislature will direct $2 million toward research on water issues,11/22/2013,11/22/2013, ,"Governor Martinez of New Mexico hopes the Legislature will direct $2 million toward research on water issues when its session begins in 2014.  The state climatologist, Dave DuBois, said that portions or all of New Mexico have endured drought since 2000.  El Paso Times (Texas), Nov. 22, 2013","Relief, Response & Restrictions, Water Supply & Quality",New Mexico,
29785,New Mexico’s governor has proposed using 60 percent of the state’s capital spending budget on water projects as drought and aging infrastructure jeopardize the water supply,11/21/2013,11/19/2013, ,"New Mexico’s governor has proposed using 60 percent of the state’s capital spending budget, or $112 million, on water projects as drought and aging infrastructure jeopardize the water supply.  She intends to fund water projects for communities like Magdalena, Maxwell and Vaughn, which have run out of water.  ABQJournal Online (Albuquerque, N.M.), Nov. 19, 2013","Relief, Response & Restrictions, Water Supply & Quality","New Mexico, Maxwell, NM, Vaughn, NM, Las Vegas, NM, Magdalena, NM",
31113,Drought and poor snowfall reduced the number of skier visits to New Mexico ski resorts during the 2013-14 winter,11/20/2014,11/01/2013,04/30/2014,"Drought and poor snowfall reduced the number of skier visits to New Mexico ski resorts during the 2013-14 winter.  Roughly 740,000 ski visits were recorded, compared to a million ski visits annually a decade ago.  The director of the industry group Ski New Mexico thought that years of drought may have discouraged skiers from hitting the slopes.  ABQJournal Online (Albuquerque,N.M.), Nov. 19, 2014",Tourism & Recreation,New Mexico,
29584,The cattle population in New Mexico is 20 percent smaller than it was one year ago as drought drastically reduced the amount of water and forage for the animals,09/18/2013,09/09/2013, ,"The cattle population in New Mexico is 20 percent smaller than it was one year ago as drought drastically reduced the amount of water and forage for the animals, leading cattle producers to sell livestock.  KOB-TV NBC 4 (Albuquerque, N.M.), Sept. 9, 2013",Agriculture,New Mexico,
29523,A new drought public information campaign started in New Mexico,09/09/2013,08/30/2013, ,"A new drought public information campaign started in New Mexico on Aug. 30 to boost water conservation and limit water use.  The state engineer and the state Environmental Department worked together to start the campaign and suggest tips on water conservation.  El Paso Times (Texas), Sept. 2, 2013","Relief, Response & Restrictions, Water Supply & Quality",New Mexico,
29392,"Rancher from Las Cruces, New Mexico moved cattle off of sparse federal grazing allotment",08/14/2013,08/12/2013, ,"A rancher near Las Cruces moved his cattle from his federal grazing allotment because there was not much grass for the animals to eat.  He commented that the area used to be shortgrass prairie, but felt that the drought had damaged the ecosystem beyond repair.  Spokane Spokesman-Review (Wash.), Aug. 12, 2013",Agriculture,"New Mexico, Dona Ana County, NM",
29114,Many New Mexico communities banned some or all fireworks,07/03/2013,06/29/2013, ,"Across New Mexico, many counties and communities have banned some or all fireworks, due to the elevated fire danger brought by drought, strong winds and dry vegetation.  Officials urged the public to attend professional displays rather than lighting their own fireworks.  Amarillo Globe-News (Texas), June 29, 2013","Fire, Relief, Response & Restrictions, Tourism & Recreation","New Mexico, Santa Fe County, NM",
29020,"Wildfires raging in New Mexico are charring acres of remaining grazing land, forcing ranchers to move cattle out of state",06/27/2013,06/25/2013, ,"Wildfires raging in New Mexico are charring acres of remaining grazing land, forcing ranchers to move cattle out of state.  A range resource specialist with the New Mexico Department of Agriculture explained, “There are poor range conditions statewide.  Finding grass that doesn't have some cattle on it or some areas of rangeland that haven't been destocked because there's just no grass left is nearly impossible in New Mexico.""  Agriculture officials have contacted the U.S. Forest Service and the Bureau of Land Management in an effort to find public or private land where cattle might graze.  Drought led forest officials to curb the number of livestock in the Gila National Forest, while the Silver Fire drove at least 150 cattle from an allotment.  Houston Chronicle (Texas), June 25, 2013","Agriculture, Fire, Plants & Wildlife","New Mexico, Grant County, NM, Sierra County, NM",
28980,"Vegetation in New Mexico dangerously dry, compared to Colorado where wildfires were burning",06/25/2013,06/21/2013, ,"The mayor of Ruidoso noted the difference between the color of vegetation in Colorado and that of New Mexico.  He referenced the Black Forest fire that consumed more than 300 homes in Colorado and described the greenness of the plant life in Colorado, in comparison with the worse-looking vegetation in New Mexico, which he termed as ”scary” with respect to the fire danger.  El Paso Times (Texas), June 21, 2013","Fire, Plants & Wildlife",New Mexico,
28913,More animals are being struck by vehicles in New Mexico,06/20/2013,06/19/2013, ,"More animals are being struck by vehicles in New Mexico, particularly in Albuquerque’s East Mountains, noted officials with the New Mexico Department of Game and Fish.  In the past few days, two deer and a bear were hit by vehicles.  Drought is likely the reason the animals are out on the move.  ""When you get these animals up around looking for water, looking for food, they will start crossing roads,"" says Game and Fish spokesman.  Elk, deer, javelina, bears and antelope are some of the animals struck by cars recently.  KRQE-TV CBS 13 (Albuquerque, N.M.), June 19, 2013","Plants & Wildlife, Society & Public Health",New Mexico,
28919,New Mexico agencies strive to bring water to wildlife,06/21/2013,06/19/2013, ,"Two state agencies and a nonprofit organization are working together to bring water to New Mexico’s thirsty wildlife during the drought.  The New Mexico Department of Game and Fish donated $40,000 to the New Mexico Department of Agriculture (NMDA) to assist ranchers with the added costs of pumping and transporting water during drought.  Wildlife benefit from water sources for cattle, so the assistance to ranchers will help wildlife.  The funds will move from the NMDA to the New Mexico Association of Conservation Districts, a nonprofit organization representing the state’s 47 soil and water conservation districts.  New Mexico ranchers will be eligible for up to $350 to help defray the costs of hauling or pumping water.  KOB-TV NBC 4 (Albuquerque, N.M.), June 19, 2013","Plants & Wildlife, Society & Public Health, Water Supply & Quality",New Mexico,
28802,Governor of New Mexico urged local governments to restrict fireworks,06/13/2013,06/11/2013, ,"Gov. Susana Martinez requested that local governments in New Mexico to move quickly to restrict fireworks, due to drought and the elevated fire danger.  Las Cruces Sun-News (N.M.), June 11, 2013","Fire, Relief, Response & Restrictions",New Mexico,
29001,Drought levels and dry soil in Southwest Colorado and central New Mexico.,06/26/2013,06/11/2013, ,"Southwest Colorado upgraded from D1 to D4 drought condition, dry soil being blown away, hurting agriculture.","Agriculture, Relief, Response & Restrictions","Dolores County, CO, La Plata County, CO, Montezuma County, CO, Cortez, CO, San Juan County, CO, New Mexico",
28891,Drought and other factors reduced visitation to New Mexico's state parks by more than 40 percent over Memorial Day weekend,06/20/2013,05/25/2013,05/27/2013,"Unrelenting drought played a role in the 40.6 percent reduction in visitors to New Mexico’s 35 state parks over the Memorial Day weekend, according to the director of state parks.  Fewer than 315,000 people enjoyed state parks the last weekend in May, dragging revenue down by 41.3 percent for a total of roughly $157,000 for the weekend.  Low water levels have prompted officials to close Conchas, Clayton, Morphy and Storrie lakes to motorized boating.  El Paso Times (Texas), June 13, 2013","Tourism & Recreation, Water Supply & Quality",New Mexico,
29021,Wildfires burning in New Mexico over the last month consumed more than 192 square miles,06/27/2013,05/25/2013,06/24/2013,"Wildfires burning in New Mexico over the last month consumed more than 192 square miles.  The Silver Fire continues to burn in the Gila National Forest and will increase the area burned before it is contained.  Houston Chronicle (Texas), June 25, 2013",Fire,New Mexico,
28390,Fire restrictions in New Mexico,05/07/2013,05/08/2013, ,"New Mexico officials announced fire restrictions for the entire state, effective May 8, due to the elevated fire danger and prevalence of fires.  The restrictions ban the use of fireworks, campfires and other open fires and are valid statewide, including on non-municipal, non-federal and non-tribal lands.  Most of the state is in extreme or exceptional drought, and soil moisture is nonexistent in many areas.  The New Mexico Game and Fish Department officers will patrol more heavily to ensure that the fire restrictions and other laws are followed.  Las Cruces Sun-News (N.M.), May 3, 2013","Fire, Relief, Response & Restrictions",New Mexico,
28338,Drought is gripping New Mexico,04/29/2013,04/25/2013, ,"Drought is gripping New Mexico with dwindling water supplies strangling agriculture and forcing communities to limit water use.  Farmland is left idle for lack of water.  The levels of springs in the northern part of the state are falling and wells are going dry near Santa Fe.In eastern New Mexico, wells have gone dry, leaving ranchers to sell their livestock.  Reservoir levels have hit record lows and offer little to water users downstream.  The owners of some pecan orchards in southern New Mexico resorted to trimming the trees to the trunks to reduce the trees’ water needs while there is little water to be had.  Others have drilled new wells and are using the water judiciously or are teaming up with neighbors to acquire water.  The Rio Grande River in Dona Ana County in southern New Mexico went dry, leaving carp fighting for life in a series of puddles and thousands of freshwater clams dead.   At least one restaurant in Hatch charges for a glass of tap water as the level of groundwater continues to decline, leaving town officials seeking new sources for chile growers.  A call was issued on the Pecos River because some water users felt others were taking more than their fair share.  Meanwhile, Texas has asked the U.S. Supreme Court to stop New Mexico from pumping as much water as they do to leave more for farmers in El Paso.  Farmington Daily Times (N.M.), April 25, 2013","Agriculture, Plants & Wildlife, Relief, Response & Restrictions, Water Supply & Quality",New Mexico,
