Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places
39533,Drought a factor in high avocado price,5/4/17,5/4/17, ,"Avocado prices were high ahead of Cinco de Mayo, due to higher demand worldwide, bad weather when avocados were blooming, salty soil in California in the wake of drought and the unpredictability of the avocado trees.  The average price of an avocado was $1.43 in the most recent U.S. Department of Agriculture weekly retail price report, significantly higher than the 92 cents paid for an avocado in 2016. The popular Hass variety was still holding steady at $1.38, down from $1.40 a year ago.Courier Post (Camden South Jersey) (N.J.), May 4, 2017","Agriculture, Society & Public Health, Water Supply & Quality",IMW
39101,Forecast predicts 2018 shortage for Lake Mead,4/11/17,1/20/17,12/31/17,"Despite the deep snowpack in Colorado as of April 2017, the Colorado River basin still faces a 50 percent chance of water shortage in 2018 because demand exceeds supply in the basin.  Las Vegas Sun (Nev.), April 11, 2017Despite deepening snowpack in the Rockies and Sierra Nevada, this year’s first official water forecast for the Colorado River foresees a possible federal shortage declaration in 2018.  Lake Mead’s elevation is expected to dip about 9 feet by the end of 2017, leaving it inches below the 1,075 feet shortage mark, which would result in cuts in water deliveries to Nevada and Arizona.  Las Vegas Review-Journal (Nev.), Jan. 20, 2017","Relief, Response & Restrictions, Water Supply & Quality",IMW
44093,Southern Plains drought affected size of national cattle herd,2/2/18,1/1/17,1/1/18,"Expanding drought in the Southern Plains played a role in the smallest rise in the nation’s cattle population in three years, according to analysts with the U.S. Department of Agriculture.  The cattle herd on Jan. 1 was up 0.7 percent from 2017 at 94.399 million head as more cattle were taken to commercial feedlots earlier than intended. Reuters (New York), Jan. 31, 2018",Agriculture,IMW
32568,Pres. Obama urged better preparation for drought,3/22/16,3/21/16, ,"President Obama issued a presidential memorandum and separate action plan on March 21, directing the federal government to devise a more proactive, long-term approach to dealing with drought.  Some of the goals the president set forth are to increase sharing of information about drought risks with state, regional, tribal and local authorities and to improve coordination of federal drought-related activities.  Las Vegas Sun (Nev.), March 21, 2016","Relief, Response & Restrictions, Society & Public Health",IMW
32519,President Obama’s 2017 budget proposal contains funds for drought relief in the West,2/10/16,2/9/16, ,"President Obama’s 2017 budget proposal contains funds for drought relief in the West through improving the efficiency of water supplies and adopting new water supply technology.  The president proposed $98.6 million for the Interior Department’s WaterSmart program that promotes water conservation; $88 million for the National Science Foundation to support research to increase the water supply and the quality of water; $28.6 million for the Bureau of Reclamation for research and development including a challenge prize for water-treatment technologies; $25 million for the Energy Department for a water desalination research hub; and $15 million in the Agriculture Department to support research on agricultural practices that conserve water.The budget also proposes changing the mechanism for funding wildfire suppression.  Base funding is equal to 70 percent of the 10-year average of the cost of fighting wildfires.  An extra $290 million is available for the expense of fighting severe fires.  The additional funds would hopefully prevent federal agencies from transferring or borrowing money from other parts of their budgets to pay for firefighting.Palm Springs Desert Sun (Calif.), Feb. 9, 2016","Fire, Relief, Response & Restrictions, Society & Public Health, Water Supply & Quality",IMW
32503,California drought was the topic of discussion on radio show,1/28/16,1/25/16,1/25/16,"California’s drought and related issues were the topics of discussion on the Sharon Kleyne Hour™ Power of Water® radio show on Jan. 25.  She asserts that it is time to begin planning for the next major drought before it strikes.seattlepi.com (Wash.), Jan. 25, 2016",Society & Public Health,IMW
32469,Natural Resource Investment Center to improve water conservation and infrastructure in West,12/18/15,12/15/15, ,"The Natural Resource Investment Center was announced by Interior Secretary Sally Jewell on Dec. 15 to promote the private sector’s participation and investment in Western water conservation and infrastructure.  Some of the outcomes could be facilitating water transfers in the drought-stricken West, replacing aging infrastructure and protecting habitats and species.Durango Herald (Colo.), Dec. 15, 2015","Business & Industry, Plants & Wildlife, Relief, Response & Restrictions, Water Supply & Quality",IMW
32442,New water management plan for the Colorado River,11/19/15,11/19/15, ,"The Colorado Water Conservation Board released a new water management plan for the Colorado River to prepare the region for future droughts and water shortages as demand for water grows.  The plan lays out conservation goals, outlines ways to share water during droughts and suggests ways to preserve the environment, recreation and agriculture while accommodating rapid population growth.ABQJournal Online (Albuquerque,  N.M.), Nov. 19, 2015","Relief, Response & Restrictions, Water Supply & Quality",IMW
32395,People cite severe drought as reason they chose to believe in global warming,10/30/15,10/30/15, ,"Some Americans, witnessing ongoing drought in parts of the U.S., have come to believe that global warming is real.  Seven out of 10 people say that solid evidence for global warming exists, according to a report from the National Surveys on Energy and Environment.  This is an uptick of 10 percent since fall 2014 and was nearing the record 72 percent in 2008.  More than 60 percent of those acknowledging global warming say that severe drought had a “very large effect” on their view of the matter.Redding Record Searchlight (Calif.), Oct. 30, 2015",Society & Public Health,IMW
32303,Butter prices reached a record high,9/29/15,9/26/15, ,"Butter prices have reached a record high for three main reasons.  Milk production was down in California, due to the ongoing drought.  Demand is rising with baking season nearing, and attitudes have changed about butter being an acceptable part of a healthy diet, rather than low-fat spreads.  Salt Lake Tribune (Utah), Sept. 26, 2015","Agriculture, Society & Public Health",IMW
31988,Most Americans think that farmers should be favored when deciding who gets water during drought and water restrictions,8/5/15,7/9/15,7/13/15,"Most Americans think that farmers should be favored when deciding who gets water during drought and water restrictions, found a poll conducted by Associated Press-Gfk.  Two-thirds of the poll participants thought that water was a limited resource and can be depleted if overused, while 70 percent thought that the government should restrict how much water residents and businesses use amid drought.When asked to prioritize water use, 74 percent felt that agriculture ought to be a top or high priority, with residential needs coming in second (66 percent), wildlife and ecosystems (54 percent) and business and industry (42 percent).  Participants’ responses were fairly similar across the nation.  Another finding was that nearly 80 percent of Americans were in favor of the government limiting developers to building only in areas with an adequate, long-term water supply.The AP-GfK Poll involved 1,004 adults who participated in an online survey between July 9 and 13, using a sample drawn from GfK's probability-based KnowledgePanel, designed to be representative of the U.S. population. The margin of sampling error for all respondents is plus or minus 3.4 percentage points.ABC News, Aug. 3, 2015","Agriculture, Society & Public Health, Water Supply & Quality",IMW
31811,Almond prices at record high,7/8/15,7/7/15, ,"Almonds have grown in popularity and are used in nut spreads and are coveted by those following particular diets and with peanut allergies.  But increased consumption and less production as California endures drought has driven up prices.  In 2014, almonds reached $3.30 per pound, which was thought to be exorbitant, but almonds were presently selling in the mid-$4 range.  Drought and increasing demand for the nut continues to drive prices higher.  The almond crop is down 7 percent this year and will decline next year also, said the USDA.Salt Lake Tribune (Utah), July 7, 2015","Agriculture, Society & Public Health",IMW
31810,"Water management, infrastructure need to be updated in the West",7/8/15,7/5/15, ,"The increased population in the West, ongoing drought and the specter of climate change are forcing the U.S. Bureau of Reclamation to rethink the way it manages water and retool its infrastructure.  Lawmakers from both political parties have expressed frustration with the way Reclamation has distributed water amid the historical drought in the West.New York Times, July 5, 2015","Society & Public Health, Water Supply & Quality",IMW
31644,$235 million for new partnerships through the Regional Conservation Partnership Program,5/22/15,5/5/15, ,"As much as $235 million will be used to improve water quality, fight drought, restore soil health, protect wildlife habitat and safeguard agricultural viability.  The assistance will come through the Natural Resources Conservation Service’s Regional Conservation Partnership Program.Agri Marketing (Adel, Iowa), May 5, 2015","Agriculture, Plants & Wildlife, Relief, Response & Restrictions, Water Supply & Quality",IMW
31252,"Snow surveyors to learn how to survive in snowless situations, given the past few years of drought in the West",1/12/15,1/9/15, ,"Participants at the annual Westwide Snow Survey School receive instruction in snow sampling, avalanche recognition, outdoor survival and emergency care.  Normally they also must build a snow cave and spend the night in it, but this year, a new activity will replace the snow cave exercise.  Participants will have to improvise shelter outdoors, and snow may not be a part of the structure.  With the training area in its fourth year of drought, surveyors must be prepared to survive in snowless situations.Elko Daily Free Press (Nev.), Jan. 9, 2015","Relief, Response & Restrictions, Society & Public Health",IMW
31460,Livestock Forage Program available to help with grazing losses,3/27/15,1/1/15,12/31/15,"The Livestock Forage Program became available to help compensate for grazing losses in 2015, according to the U.S Department of Agriculture.  The program benefits are similar to those available from 2011 through 2014.Fort Worth Star-Telegram (Texas), March 25, 2015","Agriculture, Plants & Wildlife, Relief, Response & Restrictions",IMW
32474,Drought a popular search term on Bing in 2015,12/22/15,1/1/15,12/31/15,"U.S. users of Bing searched on keywords such as Gov. Jerry Brown, Starbucks and Tom Selleck as they researched drought amid California’s fourth year of the phenomenon.  The terms, drought and wildfires, together were the sixth most searched for news topic on Bing in 2015.  Some events, such as declarations by the governor of California and Starbucks coincided with spikes in online searches for drought information.  When news broke about Tom Selleck receiving a fine for trucking water to his home, interest in drought matters stayed high.“Drought was a topic throughout the year, but there were four months that saw heavy search volume: April and May and then July and August,” according to Bing’s Matthew Quinlan.Los Angeles Times (Calif.), Dec. 21, 2015",Society & Public Health,IMW
32479,2015 was record year for wildfires,1/8/16,1/1/15,12/31/15,"More than 10 million acres burned in the U.S. in 2015, partly due to dry conditions in Alaska, where more than 5 million acres burned, and Washington and Oregon, where nearly 2 million acres had burned by September.Bend Bulletin (Ore.), Jan. 7, 2016",Fire,IMW
32558,Olive oil prices increasing,3/11/16,1/1/15,3/9/16,"Olive oil prices shot up 20 percent in 2015 after drought and disease damaged a significant portion of Europe’s olive crop, for a global drop in production of one-third.  A similar price increase is expected in 2016.CNN (Atlanta, Ga.), March 9, 2016",Society & Public Health,IMW
31217,Funds to benefit Colorado River basin,12/18/14,12/18/14, ,"Fifty million from the $1 trillion budget passed by Congress will go toward helping the parched West and conservation programs to boost water levels in the Colorado River basin to benefit Lake Mead.  The federal Bureau of Reclamation will take part in the pilot projects.Las Vegas Sun (Nev.), Dec. 18, 2014","Relief, Response & Restrictions, Water Supply & Quality",IMW
31263,"NOAA toolkit to help deal with drought, flooding and changing ecosystems",1/13/15,11/28/14,1/11/15,"The U.S. Climate Resilience Toolkit, created by the National Oceanic and Atmospheric Administration and first released in November 2014, can help states, cities and tribal governments deal with drought, flooding and changing ecosystems as climate change alters the environment.  Tulsa World (Okla.), Jan. 11, 2015","Plants & Wildlife, Relief, Response & Restrictions, Society & Public Health",IMW
31116,The U.S. Bureau of Reclamation awarded $9.2 million to fund 131 research projects to safeguard and enhance water and power supplies in the West,11/20/14,11/20/14, ,"The U.S. Bureau of Reclamation has awarded $9.2 million to fund 131 research projects to safeguard and enhance water and power supplies in the West.  Specifically, they intend to increase water supplies through advanced water treatment technologies, enhance water infrastructure reliability and safety and optimize hydropower and other forms of renewable energy, among other things.  Houston Chronicle (Texas), Nov. 20, 2014","Energy, Relief, Response & Restrictions, Water Supply & Quality",IMW
31100,"Turkey production in the U.S. the lowest in nearly 30 years, likely will not affect turkey prices too much in the grocery store",11/18/14,11/15/14, ,"Turkey production in the U.S. was the lowest in nearly 30 years in 2014, and wholesale prices were at record levels, but were not expected to affect turkey prices too much in the grocery store.  The National Agricultural Statistics Service said the 2014 turkey stock would be 235 million birds, the fewest since 207 million birds were produced in 1986.  High corn prices from the 2012 drought led farmers to reduce the number of turkeys on farms, and the plentiful corn from this year’s harvest will not likely be felt until next year.ABC News (New York), Nov. 15, 2014","Agriculture, Society & Public Health",IMW
31080,Western Governors' Association talked about coping with drought's effect on agriculture,11/14/14,11/13/14, ,"The Western Governors’ Association met with the goal of devising the best ways of coping with the epic drought parching the western U.S. for three years.  Discussions included managing drought’s effects on agriculture.Chico Enterprise Record (Calif.), Nov. 13, 2014","Relief, Response & Restrictions, Society & Public Health, Water Supply & Quality",IMW
31031,Vegetable supplies short in U.S. through Thanksgiving,11/5/14,10/31/14,11/30/14,"Vegetable supplies were not expected to meet demand through Thanksgiving because the drought ravaging California moved up the timeline for harvest.  Vegetables from the Yuma, Arizona area were late due to rainfall in late August and early September.The Produce News (Oradell, N.J.), Oct. 31,2014",Agriculture,IMW
30925,"Extension on deadline to replace livestock, defer tax on gains from sales",10/2/14,9/30/14,12/31/15,"The Internal Revenue Service has extended the deadline for farmers and ranchers who had to sell livestock during drought.  They now have an additional year to replace livestock and defer tax on any gains from the sales.Sacramento Bee (Calif.), Sept. 30, 2014","Agriculture, Relief, Response & Restrictions",IMW
30886,The thirteenth season of Ask This Old House to look at drought,9/23/14,9/23/14, ,"The thirteenth season of Ask This Old House will offer a full episode on looking at the way drought has affected one-third of the country.  Las Vegas will be one of the stops for the show, with a look at Lake Mead as it dips near a record low level.Riverside Press-Enterprise (Calif.), Sept. 23, 2014",Society & Public Health,IMW
30887,The drought in California has driven up the wholesale price of lemons,9/23/14,9/23/14, ,"The drought in California has driven up the wholesale price of lemons to $2.327 per pound in August, roughly twice the cost compared to one year ago, according to the U.S. Bureau of Labor Statistics.  Ninety-one percent of the nation’s lemons are produced in California.  The prices for other fresh fruits are also rising, with the U.S. Department of Agriculture expecting an uptick of 5 to 6 percent this year, in line with the rising cost of meats and eggs.  The California drought could have “large and lasting effects” on produce, dairy and eggs, said the USDA in its Aug. 25 report.  Lemon growers benefited from the higher prices while they lasted, but lemon prices were already slipping as demand eased.Washington Post (D.C.), Sept. 23, 2014","Agriculture, Society & Public Health",IMW
30847,Western Drought Forum to address drought issues,9/12/14,9/11/14,12/9/14,"The second forum of the Western Governors’ Association Drought Forum was held in Tempe, Ariz. and focused on mining, manufacturing and industry.  The September forum in Oklahoma dealt with drought’s effects on the energy sector.Arizona Republic (Phoenix) & AZCentral.com, Oct. 8, 2014The Western Drought Forum, an initiative of the Western Governors' Association, has been formed to address drought and find best practices to drought problems.  An online library will be available to share case studies and best practices.  The forum will also discuss preparedness and management.Sessions will be held Sept. 18-19 in Norman, Okla.; Oct. 7-8 in Tempe, Ariz.; Nov. 13-14 in Sacramento, and Dec. 8-9 in Las Vegas.Las Vegas Sun (Nev.), Sept. 12, 2014","Relief, Response & Restrictions, Society & Public Health",IMW
30752,U.S. consumer prices rose a seasonally adjusted 0.1 percent in July,8/20/14,7/1/14,7/31/14,"U.S. consumer prices rose a seasonally adjusted 0.1 percent in July as falling gasoline prices offset a 0.4 percent increase in food costs, due to drought and other adverse weather, according to the July 2014 Bureau of Labor Statistics report on the Consumer Price Index.  Consumer prices climbed 0.3 percent in June and 0.4 percent in May.  The July uptick of 0.4 percent in food prices was the fifth increase of that size or larger in the past six months.Rapid City Journal (S.D.), Aug. 19, 2014; Bureau of Labor Statistics, Washington, D.C., Aug. 19, 2014","Agriculture, Society & Public Health",IMW
30528,"Large food companies buying up smaller ones in an effort to remain competitive as drought, other factors challenge profitability",6/18/14,6/16/14, ,"Large food companies were buying up smaller ones in an effort to remain competitive as drought, disease and food recalls challenged profitability.  Meat company mergers were an especially strategic move as prices for pork, beef and chicken climbed.  Beef prices were at record highs, and demand for chicken was at its highest in three years.  Los Angeles Times, June 16, 2014","Agriculture, Business & Industry",IMW
30489,Ten governors met in Colorado Springs to discuss drought and the environment; Western governors and NOAA sign drought MOU,6/9/14,6/9/14, ,"The Western Governors' Association and the National Oceanic and Atmospheric Administration signed a Memorandum of Understanding during the 2014 WGA annual meeting that renewed and strengthened collaboration on drought and flood preparedness.Ten governors were at the meeting in Colorado Springs. They, their staffs and many other interested parties discussed drought, the fire season  and the environment in the Great Plains and further west.  The governors who were present were from Kansas, Colorado, Arizona, Idaho, Montana, North Dakota, South Dakota, Utah and Wyoming.  Western Governors' Association, June 9; Topeka Capital-Journal (Kan.) and Salt Lake Tribune (Utah), June 9, 2014","Fire, Relief, Response & Restrictions, Water Supply & Quality",IMW
30581,"Chipotle Mexican Grill Inc., others raised prices as beef prices climb",7/9/14,4/30/14,8/29/14,"Chipotle Mexican Grill upped prices on its beef entrees by 8 percent, and the Texas Roadhouse chain charges 1.5 percent more for all menu items as higher beef prices force restaurants to pay more for their beef supplies.  The Mexicali Taco and Company restaurant in Los Angeles spends $1,000 more per month for its usual beef supplies.  The restaurant owner said he raised menu prices up to 5 percent to make up for the increase.  Ongoing drought in beef-producing states has driven up feed prices, leading producers to cull their herds.  Fewer cattle pushed up beef prices to record highs earlier in 2014, and prices have remained high and are expected to remain high.  Record high exports were also pushing up beef prices as exports hit a record high in June at 5 percent above last year's level.CBS, Aug. 29, 2014Chipotle Mexican Grill Inc. paid 25 percent more for beef in April 2014 than it did a year ago, forcing the restaurant chain to bump up menu prices.  Costco Wholesale Corp. has also passed along beef price increases to consumers.  Hormel Foods Corp. has seen its profit margins shrink due to climbing beef prices. St. Louis Post-Dispatch (Mo.), June 17, 2014 and Washington Post (D.C.), July 3, 2014","Agriculture, Business & Industry",IMW
30310,High milk prices,4/24/14,4/20/14,10/19/14,"High feed prices from the 2011-12 drought in the Great Plains kept farmers from expanding their herds, pushing milk prices up to $25.30 per hundredweight in April and keeping them high at $25 per hundred pounds weight in October.  Pittsburgh Post-Gazette (Pa.), Oct. 19, 2014A number of factors are involved in the surge in milk prices in the U.S., including historic high dairy exports and the drought in California limiting hay and forage production.Bellingham Herald (Wash.), April 20, 2014","Agriculture, Plants & Wildlife, Society & Public Health",IMW
30289,Assistance available through Agricultural Act of 2014,4/17/14,4/15/14, ,"The Agricultural Act of 2014 allows livestock producers who suffered losses dating back to October 2011 to apply for assistance.  The livestock forage program can help those whose grazing land suffered from drought in 2012.  A livestock indemnity program could assist producers who lost livestock due to adverse weather.  Officials with the U.S. Department of Agriculture said that as much as $2 billion to $3 billion may be paid for past disasters.  Applications must be received by Jan. 31, 2015.Lincoln Journal Star (Neb.), April 17, 2014","Agriculture, Relief, Response & Restrictions",IMW
30277,Lime prices nearly double in the U.S.,4/16/14,4/4/14, ,"Drought in Mexico has nearly doubled lime prices in the U.S. Data from the U.S. Department of Agriculture show that the average advertised price for a lime was 56 cents in the week ending April 4, compared to 37 cents for the week ending March 28 and 31 cents one year ago.Fort Myers News-Press (Fla.), April 14, 2014",Society & Public Health,IMW
30519,"The price of ground beef rose to a new high, drove up menu prices",6/17/14,4/1/14,4/30/14,"The price of ground beef rose to a new high of $3.808 per pound in April, an increase of 17 percent over the last year, according to the Bureau of Labor Statistics.  In a May 23 report, the U.S. Department of Agriculture said that beef and veal prices may rise 5.5 to 6.5 percent in 2014, more than other food groups.  Drought also led the USDA to curb its expectations for 2014 beef output by 0.6 percent to 24.5 billion pounds. St. Louis Post-Dispatch (Mo.), June 17, 2014","Agriculture, Business & Industry, Society & Public Health",IMW
30133,President Obama assured governors of western states of continued support,2/26/14,2/24/14, ,"President Obama assured governors of western states that wildfire funding in the future would come from emergency funds in the same way that aid for other natural disasters, such as earthquakes and hurricanes, does.  Obama also offered ongoing support to governors from Oregon, Washington, Arizona, Oklahoma, Utah, Colorado, Wyoming and Nevada as the West deals with drought and water issues.  Portland Oregonian, Hillsboro Argus, Oregon Live.com (Ore.), Feb. 24, 2014","Fire, Relief, Response & Restrictions, Water Supply & Quality",IMW
29822,The U.S. Bureau of Reclamation announced that it will reduce flows from Lake Powell in Arizona,12/10/13,1/1/14, ,"The U.S. Bureau of Reclamation announced that it will reduce flows from Lake Powell starting in October 2013 from 8.23 million acre-feet to 7.48 million acre-feet in the 2014 water year, due to drought.  This is the smallest water release since the lake was filled in the 1960s.  Lake Powell held 45 percent of capacity and Lake Mead was at 47 percent of capacity.“This is the worst 14-year drought period in the last 100 years,” said the bureau’s Upper Colorado Region director.  Arizona Republic (Phoenix) & AZCentral.com (Ariz.), Aug. 16, 2013","Relief, Response & Restrictions, Water Supply & Quality",IMW
30152,Beef price highest in U.S. history,3/5/14,1/1/14,3/31/14,"A pound of beef sold for an average retail price of $5.72 in March, a record high, according to the U.S. Department of Agriculture.  Durango Herald (Colo.), May 13, 2014The retail price for “all fresh” USDA choice-grade beef hit a record $5.28 per pound in February, compared to $4.91 one year ago.  Consumers paid $3.97 for the same grade of beef in 2008.  Years of drought are to blame for the rising beef prices.Eau Claire Leader-Telegram (Wis.), April 11, 2014.Drought and the shrinking cattle herd in the U.S. led the average retail price per pound of fresh beef to climb to a new high of $5.04, according to the U.S. Department of Agriculture.  This was the highest price for beef since record keeping began in 1987.Milwaukee Journal Sentinel (Wis.), March 3, 2014","Agriculture, Society & Public Health",IMW
