Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
46767,Harsh fire season in Utah,08/29/2018,01/01/2018,08/26/2018,"Utah has experienced its worst fire season in 15 years as nearly 250 square miles and 370 structures burned since the start of the year.  Extreme drought contributed to the destruction after a winter of low snowpack.The Dollar Ridge fire was the blaze that tragically destroyed 363 structures and made 2018 worse, in terms of fire, than it would have been otherwise. The Bryan-College Station Eagle (Texas), Aug. 26, 2018",Fire,Utah,
39341,"Fewer young bucks in Utah, due to adverse weather, drought",03/23/2017,03/22/2017, ,"Some parts of Utah have fewer young bucks after the harsh 2014-15 winter, drought in 2016 and another difficult winter.  The Division of Wildlife Resources recommended that the Utah Wildlife Board issue fewer buck deer hunting permits to allow the population to recover.  The wildlife board will decide permit numbers for big game hunts on April 27.The Salt Lake Tribune (Utah), March 22, 2017","Plants & Wildlife, Tourism & Recreation","Utah, Beaver County, UT, Box Elder County, UT, Cache County, UT, Carbon County, UT, Daggett County, UT, Davis County, UT, Duchesne County, UT, Emery County, UT, Garfield County, UT, Grand County, UT, Iron County, UT, Juab County, UT, Kane County, UT, Millard County, UT, Morgan County, UT, Piute County, UT, Rich County, UT, Salt Lake County, UT, San Juan County, UT, Sanpete County, UT, Sevier County, UT, Summit County, UT, Tooele County, UT, Uintah County, UT, Utah County, UT, Wasatch County, UT, Washington County, UT, Wayne County, UT, Weber County, UT",
36262,"Summer heat, drought increased irrigation demand in Utah, reservoirs low",09/09/2016,06/01/2016,09/09/2016,"Utah’s reservoirs were averaging 47 percent of capacity statewide, due to several months of hot, dry weather, according to the monthly Utah Climate and Water Report from the Natural Resources Conservation Service.  Some reservoirs were already dry, said Randy Julander, supervisor for the Natural Resources Conservation Service's Utah Snow Survey.  As reservoirs continued to drop after the high demand during the summer, next year’s water supply will be in jeopardy.The Salt Lake Tribune (Utah), Sept. 8, 2016","Agriculture, Water Supply & Quality","Utah, Beaver County, UT, Box Elder County, UT, Cache County, UT, Carbon County, UT, Daggett County, UT, Davis County, UT, Duchesne County, UT, Emery County, UT, Garfield County, UT, Grand County, UT, Iron County, UT, Juab County, UT, Kane County, UT, Millard County, UT, Morgan County, UT, Piute County, UT, Rich County, UT, Salt Lake County, UT, San Juan County, UT, Sanpete County, UT, Sevier County, UT, Summit County, UT, Tooele County, UT, Uintah County, UT, Utah County, UT, Wasatch County, UT, Washington County, UT, Wayne County, UT, Weber County, UT",
31696,Utah governor ordered water conservation,06/05/2015,06/04/2015, ,"By order of Utah’s Gov. Gary Herbert, all state agencies must curb water use by upgrading irrigation systems, using leak-detection devices and irrigating only after dark.  The state’s water resources agency has been criticized for not encouraging water conservation more strongly.Salt Lake City Deseret Morning News (Utah), June 4, 2015","Relief, Response & Restrictions, Water Supply & Quality",Utah,
31522,BLM hiring seasonal firefighters early in Utah,04/28/2015,04/19/2015, ,"The Bureau of Land Management plans to increase staffing of seasonal firefighters in Utah by an additional 10 to 15 percent, due to the dry winter and early fires.  The BLM's jurisdiction covers mostly lower elevation terrains.In Sevier, a fire consumed two cabins and other outbuildings.  One of the two fires that burned the same day in Wasatch County charred more than 400 acres.The Utah Division of Forestry, Fire and State Lands and the U.S. Forest Service, however, have not made plans to boost their normal staffing levels.Salt Lake Tribune, April 19, 2015","Fire, Relief, Response & Restrictions","Utah, Sevier County, UT, Wasatch County, UT",
31523,"Prescribed burns in Utah accomplished early, thanks to snow drought",04/28/2015,03/19/2015,04/19/2015,"The U.S. Forest Service was able to begin prescribed burns about one month earlier than normal, stated a Forest Service spokeswoman.  The low snowpack allowed work crews access to areas that would normally be under several feet of snow.Salt Lake Tribune, April 19, 2015","Fire, Relief, Response & Restrictions",Utah,
31524,Firefighting training and briefings underway early in Utah,04/28/2015,02/16/2015,05/31/2015,"The dry winter and apprehension about the upcoming fire season led to early firefighting training and briefings in Utah.  Training began in February for the North Summit Fire District, while the U.S. Forest Service started its briefings in March, rather than April and May.Salt Lake Tribune, April 19, 2015","Fire, Relief, Response & Restrictions",Utah,
30665,"Fire restrictions in place in Zion National Park, Washington County, Utah",07/29/2014,07/15/2014,07/28/2014,"Zion National Park has fire restrictions in place due to drought conditions. No open fires allowed.From an observer in La Verkin, Utah, on July 28, 2014",Fire,"Utah, Washington County, UT",
30586,Fireworks restrictions in Utah,07/09/2014,07/03/2014, ,"More than 50 Utah cities and towns imposed more restrictions on fireworks, due to drought and the elevated fire danger.  Some towns banned fireworks entirely within city limits, while others have designated areas for fireworks to be used.Twin Falls Times-News (Idaho), July 3, 2014","Fire, Relief, Response & Restrictions",Utah,
30432,"Drought in Utah reduced the amount of available forage, leading to competition between cattle and elk",05/19/2014,05/19/2014, ,"Drought in Utah has reduced the amount of available forage, which has ranchers frustrated with the overpopulation of elk and other big game animals.  The state Division of Wildlife Resources issued more hunting permits to cull some of the wildlife in drought-stricken parts of southwestern Utah.  An estimated 81,000 elk inhabit the state, which is 1,000 more than the objective in the state elk management plan.  Salt Lake Tribune (Utah), May 19, 2014","Agriculture, Plants & Wildlife",Utah,
29372,Dry conditions have hindered crop growth and production in Utah,08/01/2013,07/30/2013, ,"Dry conditions have hindered crop growth and production in Utah, leading the executive director of Utah’s Farm Service Agency to estimate that the tart cherry crop yield will be 20 to 30 percent less than usual, along with the peach and apple crops.  Sweet cherry and apricot production was cut in half by late spring frosts in Box Elder County.  The executive director also noted that water supplies were everyone’s worry, with drought affecting so much of the state.  Early May frosts and the heat and dryness of June hampered grain production in northern Utah, with wheat and barley bearing empty heads, likely caused by the frosts.  Wheat and barley production may be 60 percent less than usual.  The National Agricultural Statistics Service annual fruit survey was off, due to sequestration, so the survey coordinator can only estimate fruit production for Utah.  The survey coordinator will assess last year’s production and expect this year’s production to be lower than last, due to drought.  Salt Lake Tribune (Utah), July 30, 2013","Agriculture, Water Supply & Quality",Utah,
29455,Dry weather and bullet fragments cause fires in Utah,08/25/2013,07/25/2013, ,"Target shooters caused at least 18 wildfires that blackened more than 10,000 acres in Utah in 2012.  Research forester, Mark Finney experimented with different kinds of bullets and found that bullets with steel cores or jackets started the most fires.  The Bureau of Land Management reacted by prohibiting the use of steel ammo, exploding targets and tracer rounds on Utah’s public lands in June 2013.   Salt Lake Tribune (UT), July 25, 2013",Fire,Utah,
29222,"Fireworks, fire restrictions for most Utah counties",07/11/2013,07/04/2013, ,"The Utah state forester enacted fireworks restrictions for 18 of the 29 counties in the state, due to the unusually dry weather expected to last through the next several weeks.  The fireworks restrictions make it illegal to light fireworks in the unincorporated parts of the 18 counties, including Sevier, Wayne, Piute and Sanpete.  The restrictions will remain in effect until further notice.  Additional fire restrictions prohibiting open burning, smoking outside of an enclosed vehicle, building or developed recreation area and other activities took effect in Garfield, Beaver, Carbon, Emery, Grand, Iron, Kane, San Juan and Washington counties, due to drought and the elevated fire risk.   Richfield Reaper (Utah), July 7, 2013","Fire, Relief, Response & Restrictions",Utah,
31204,Statewide ban on fireworks and open fires in Utah,12/16/2014,12/20/2012, ,"Utah had a statewide ban on fireworks and open fires, except for campfires in designated areas, as drought increases the fire danger.Salt Lake Tribune (Utah), June 20, 2012","Fire, Relief, Response & Restrictions",Utah,
27735,Many cattle producers in Utah were taking their livestock off mountain grazing land early,11/05/2012,09/23/2012, ,"Many cattle producers in Utah were taking their livestock off mountain grazing land early since drought withered the forage.  Because the price of feed was three times what it used to be, many livestock were up for sale.  A leader at the Utah Cattlemen’s Association stated, “I am hearing ranchers say they have never seen a year like this, ever.""  Salt Lake Tribune (Utah), Sept. 23, 2012","Agriculture, Plants & Wildlife",Utah,
50812,Additional cow elk tags issued in Utah,02/14/2020,09/02/2012, ,"The Utah Wildlife Board approved 1,450 additional cow elk permits, with nearly 1,200 of those permits for the wildlife units in the Uintah Basin.  The need for the additional permits stemmed from meager rainfall since early April and poor range conditions that provide inadequate vegetation to sustain the deer and elk that overwinter there.  The goal was to reduce the cow elk population to give deer a better chance to survive the winter.  Salt Lake City Deseret Morning News (Utah), Sept. 2, 2012","Plants & Wildlife, Relief, Response & Restrictions, Tourism & Recreation","Utah, Carbon County, UT, Daggett County, UT, Duchesne County, UT, Emery County, UT, Grand County, UT, Uintah County, UT, Wasatch County, UT",
31205,Utah governor urged communities to ban fireworks,12/16/2014,06/22/2012, ,"The governor of Utah requested that communities consider banning fireworks during the hot, dry summer.Salt Lake Tribune (Utah), June 22, 2012","Fire, Relief, Response & Restrictions",Utah,
31206,Ammunition with steel components banned in Utah,12/16/2014,06/22/2012, ,"Firing ammunition with a steel component was banned on BLM, state and unincorporated private land in Utah because such bullets were known to spark fires.  With the state being a tinderbox with the ongoing drought, every effort was being made to prevent wildfires.Salt Lake Tribune (Utah), June 22, 2012","Fire, Relief, Response & Restrictions",Utah,
41761,"Restrictions on open fires, fireworks in Utah",11/16/2017,06/21/2012, ,"Amid a statewide ban on fireworks and open fires on public lands, several communities have issued restrictions on where fireworks may be used.  Parts of Salt Lake City, Provo, foothill areas in Herriman, Draper, West Valley City, Holladay, Cottonwood Heights and Sandy were some of the communities restricting fireworks use.  The Smith’s grocery chain stopped selling aerial fireworks in its Utah stores, due to the high fire danger.  Salt Lake Tribune (Utah), June 21, 2012","Fire, Relief, Response & Restrictions","Utah, Cottonwood Heights, UT, Draper, UT, Herriman, UT, Holladay, UT, Salt Lake City, UT, Sandy, UT, West Valley City, UT, Sevier County, UT, Utah County, UT, Provo, UT",
41760,Recreational shooting sparking fires in Utah,11/16/2017,01/01/2012,06/21/2012,"Recreational shooting sparked 19 wildfires in Utah since the start of 2012, with yet another three months to go in the dry season.  Twenty-four wildfires were caused by guns in 2011 and 20 fires in 2010.  While cities can restrict particular types of ammunition and targets for safety, the state cannot do much to avert more such fires.Arizona Republic (Phoenix) & AZCentral.com, June 21, 2012",Fire,Utah,
27994,"Utah experienced more than 1,000 wildfires with fire suppression expenses reaching $16 million through mid-August",12/19/2012,01/01/2012,08/15/2012,"Utah experienced more than 1,000 wildfires with fire suppression expenses reaching $16 million through mid-August, reported the Associated Press.  Drought sparked an exceptional fire season for the West, while the U.S. saw its third worst fire season on record.  Great Falls Tribune (Mont.), Dec. 13, 2012",Fire,Utah,
29361,"Livestock producers running short of feed, water in Utah",08/01/2013,01/01/2012,07/30/2013,"Livestock producers are running short of feed because of limited rainfall, hot temperatures, and a lot of wind this year.Some cattlemen have moved off summer ranges and have put their cattle on fall/winter-type pastures.Livestock water has also dried up so they either have to haul water or move the livestock.  A range fire burned several thousand acres last week and was started by dry lightning.From James Hall, USDA, in Tremonton, Utah, on July 30, 2013","Agriculture, Fire, Plants & Wildlife",Utah,
27725,Fewer marijuana plants seized in Utah in 2012,11/02/2012,01/01/2012,11/01/2012,"Marijuana growers in Utah struggled to produce their crop during a drought year, leaving the U.S. Drug Enforcement Agency to seize just 13,167 pot plants, which was less than 20 percent of the number of plants found last year.  Salt Lake Tribune (Utah), Nov. 1, 2012","Agriculture, Society & Public Health",Utah,
21424,"Relief, Response & Restrictions impact from Media submitted on 9/3/2007",09/03/2007,07/27/2007,07/27/2007,Sen. Bob Bennett sent a letter to Secretary of Agriculture Mike Johann urging him to approve Gov. Jon Huntsman Jr.'s request for 25 counties in Utah to be declared a disaster area due to ongoing severe drought.Impact Source:  MediaMore Information:  http://www.sltrib.com/news/ci_6522978,"Relief, Response & Restrictions",Utah,
20826,Fire impact from Media submitted on 7/20/2007,07/20/2007,07/17/2007,07/17/2007,"Because of extremely hot and dry conditions and excessive wildfire activity, the governor of Utah has asked local leaders to ban personal fireworks. However, the fire chief of Sandy says that cities cannot ban fireworks unless the state Fire Prevention Board rules that it is necessary because of drought or emergency.Impact Source:  MediaMore Information:  http://www.localnews8.com/Global/story.asp?S=6805309&nav=menu554_2",Fire,Utah,
19833,Plants & Wildlife impact from Media submitted on 4/13/2007,04/13/2007,05/30/2004,05/30/2004,"The Utah Division of Wildlife reports that sustained drought conditions have killed approximately 600,000 acres of sagebrush across the state. Sagebrush is a source of food for several animal species; it also helps stabilize water tables.Impact Source:  MediaMore Information:  http://www.redding.com/redd/nw_national/article/0,2232,REDD_17534_2921318,00",Plants & Wildlife,Utah,
15540,Agriculture impact from Media submitted on 9/30/2005,09/30/2005,01/01/2004,12/31/2004,"In 2004, Utah Alfalfa hay yields decreased five percent from the previous year, to 3.8 tons per acre. Drought was a contributing factor to the lower yields, according to a member of the Utah Farm Bureau Hay Growers Committee.Impact Source:  MediaMore Information:  http://www.sltrib.com/business/ci_2537260",Agriculture,Utah,
15668,Agriculture impact from Media submitted on 10/10/2005,10/10/2005,01/01/2004,12/31/2004,Sustained drought conditions in Utah will cost the state's agricultural economy an estimated $133 million this year.Impact Source:  MediaMore Information:  http://www.sltrib.com/ci_2389161Monetary Loss:  $133 million,Agriculture,Utah,
17331,Plants & Wildlife impact from Media submitted on 2/20/2006,02/20/2006,07/09/2003,07/09/2003,"Sustained drought conditions, coupled with mild weather, has caused an infestation of ""mormon cricket"" katydids in Utah. To date the katydids have caused $25 million in damage.Impact Source:  MediaMore Information:  http://www.chron.com/CDA/archives/archive.mpl?id=2003_3670148Monetary Loss:  $25 million",Plants & Wildlife,Utah,
15906,"Relief, Response & Restrictions impact from Media submitted on 11/4/2005",11/04/2005,07/07/2003,07/07/2003,The U.S. Department of Agriculture has designated the entire state of Utah as a primary agricultural disaster area due to drought.Impact Source:  MediaMore Information:  http://www.cropdecisions.com/show_story.php?id=20232,"Relief, Response & Restrictions",Utah,
15908,"Relief, Response & Restrictions impact from Media submitted on 11/4/2005",11/04/2005,06/22/2003,06/22/2003,Gov. Mike Leavitt has declared all of Utah an agricultural disaster area due to drought and has requested additional federal disaster aid from the U.S. Department of Agriculture. Early this month the Department provided the state with $1.24 million to encourage the adoption of water conservation technologies and mitigate long-term drought impacts.Impact Source:  MediaMore Information:  http://tv.ksl.com/index.php?nid=5&sid=29696,"Relief, Response & Restrictions",Utah,
41680,Utah Governor requests more federal aid after declaring drought disaster,11/08/2017,05/22/2003, ,"Governor of Utah has declared statewide agricultural disaster and requested more federal funds. USDA provided $1.24 million to Utah earlier in the month so farmers and ranchers can adopt water conservation technologies. Lack of irrigation water and grazing land is a result of drought, 65 percent of snow pack is depleted throughout the state. Elk and mule deer populations are down and are expected to decrease even more.","Relief, Response & Restrictions, Water Supply & Quality",Utah,
41683,"Despite rain, water resources still seeing reductions in Utah",11/08/2017,05/09/2003, ,"Water problems are a worry for Utah. USGS recorded lowest stream flows in probably 100 years on the Colorado River, Green River, Virgin River, and San Juan River. Stream flows in northern and southern Utah in 2002 were between 39 and 59 percent of normal. Green River currently flowing at 4,950 cubic feet per second (cfs) which mean flow is 9,970 for that time of year. Virgin River flowing at 158 cfs and typically averages 506 cfs.",Water Supply & Quality,Utah,
41425,Utah governor announced statewide drought emergency,09/22/2017,04/24/2002, ,"Gov. Mike Leavitt declared a statewide drought emergency for all of Utah, making way for eligible producers to qualify for financial assistance.  The producers may be able to recoup a part of the financial losses directly associated with drought.  Extremely dry conditions have depleted water storage levels in reservoirs statewide and may lead to agricultural losses in the tens of millions of dollars.  Price Sun Advocate (Utah), Apr. 30, 2002","Agriculture, Relief, Response & Restrictions",Utah,
42828,Drought made flows lower than usual in Utah,11/28/2017,03/07/2002, ,"Utah saw the worst drought since the Great Depression. The Virgin River ran at about 4 to 10 percent of its normal flow. Other streams ran at 40 to 70 percent of normal flows.  In northern Utah, snowpack is 70 to 75 percent of normal and in southern Utah, flows are 35 percent of its normal water.USA Today (VA), March 7, 2002",Water Supply & Quality,Utah,
15704,Agriculture impact from Media submitted on 10/13/2005,10/13/2005,01/01/2002,12/31/2002,"According to the National Agricultural Statistics Service, drought conditions contributed to a recent decline in the number of non-irrigated farm acres in Utah. In 2002, 83,884 acres of non-irrigated farm land were harvested in the state, as compared to 121,940 acres in 1997.Impact Source:  MediaMore Information:  http://www.harktheherald.com/modules.php?op=modload&name=News&file=article&sid=31813&mode=thread&order=0&thold=0",Agriculture,Utah,
16092,Agriculture impact from Media submitted on 12/1/2005,12/01/2005,01/01/2001,08/12/2001,"Some Utah farmers have reported crop production losses of greater than 40 percent since the beginning of the year, due to sustained drought conditions.Impact Source:  MediaMore Information:  http://www.sltrib.com/08122001/utah/121845.htm",Agriculture,Utah,
15248,Plants & Wildlife impact from Media submitted on 7/31/2005,07/31/2005,01/01/1998,07/31/2002,"State's northeastern region is in its 4th year of chronic drought. Depleted water sources and loss of forage have led to decrease in number of pronghorn, from about 1,400 in 1998 to 350 in 2002, a reduction of about 75%. For deer herds, lower fawn production was noted in 2002; reports indicate fawns were dying during the summer because of malnutrition, desiccation, or abandonment.Impact Source:  MediaMore Information:  http://www.vernal.com/jul31/sp.droughtimpacts.html",Plants & Wildlife,Utah,
15560,Water Supply & Quality impact from Media submitted on 9/29/2005,09/29/2005,01/01/1998,01/01/2005,"As of last week, 85 percent of Utah municipal water districts and private water providers have complied with a state law requiring them create water conservation plans. As well, virtually of of the state's largest municipal water providers have submitted conservation plans. In reponse to drought conditions, the Utah State Legislature passed the law in 1998. The law requires cities and companies with more than 500 hookups, about 151 water agencies, to submit conservation plans. An official with the Utah Division of Water Resources credits this year's compliance success to a 2003 revision to the law that allows the state to publish the names of noncompliant agencies.Impact Source:  MediaMore Information:  http://www.sltrib.com/utah/ci_2509537",Water Supply & Quality,Utah,
